"SYS_FIELD_NAME"," FIELD_DESC",
"YEAR","Year",
"QUARTER","Quarter (1-4)",
"MONTH","Month",
"DAY_OF_MONTH","Day of Month",
"DAY_OF_WEEK","Day of Week",
"FL_DATE","Flight Date (yyyymmdd)",
"AIRLINE_ID","An identification number assigned by US DOT to identify a unique airline (carrier). A unique airline (carrier) is defined as one holding and reporting under the same DOT certificate regardless of its Code, Name, or holding company/corporation.",
"CARRIER","Code assigned by IATA and commonly used to identify a carrier. As the same code may have been assigned to different carriers over time, the code is not always unique. For analysis, use the Unique Carrier Code.",
"TAIL_NUM","Tail Number",
"FL_NUM","Flight Number",
"ORIGIN_AIRPORT_ID","Origin Airport, Airport ID. An identification number assigned by US DOT to identify a unique airport.  Use this field for airport analysis across a range of years because an airport can change its airport code and airport codes can be reused.",
"ORIGIN","Origin Airport",
"ORIGIN_CITY_NAME","Origin Airport, City Name",
"ORIGIN_STATE_ABR","Origin Airport, State Code",
"DEST_AIRPORT_ID","Destination Airport, Airport ID. An identification number assigned by US DOT to identify a unique airport.  Use this field for airport analysis across a range of years because an airport can change its airport code and airport codes can be reused.",
"DEST","Destination Airport",
"DEST_CITY_NAME","Destination Airport, City Name",
"DEST_STATE_ABR","Destination Airport, State Code",
"CRS_DEP_TIME","CRS Departure Time (local time: hhmm)",
"DEP_TIME","Actual Departure Time (local time: hhmm)",
"DEP_DELAY","Difference in minutes between scheduled and actual departure time. Early departures show negative numbers.",
"CRS_ARR_TIME","CRS Arrival Time (local time: hhmm)",
"ARR_TIME","Actual Arrival Time (local time: hhmm)",
"ARR_DELAY","Difference in minutes between scheduled and actual arrival time. Early arrivals show negative numbers.",
"CANCELLED","Cancelled Flight Indicator (1=Yes)",
"CANCELLATION_CODE","Specifies The Reason For Cancellation",
"DIVERTED","Diverted Flight Indicator (1=Yes)",
"CRS_ELAPSED_TIME","CRS Elapsed Time of Flight, in Minutes",
"ACTUAL_ELAPSED_TIME","Elapsed Time of Flight, in Minutes",
"AIR_TIME","Flight Time, in Minutes",
"FLIGHTS","Number of Flights",
"DISTANCE","Distance between airports (miles)",
"CARRIER_DELAY","Carrier Delay, in Minutes",
"WEATHER_DELAY","Weather Delay, in Minutes",
"NAS_DELAY","National Air System Delay, in Minutes",
"SECURITY_DELAY","Security Delay, in Minutes",
"LATE_AIRCRAFT_DELAY","Late Aircraft Delay, in Minutes",
